jaspar_matrix	jaspar_id	uniprot_id
MA1606.1	Foxf1	Q61080
MA1607.1	Foxl2	O88470
MA1608.1	Isl1	P61372
MA1615.1	Plagl1	O35745
MA1616.1	Prdm15	E9Q8T2
MA1618.1	Ptf1a	Q9QX98
MA1619.1	Ptf1a(var.2)	Q9QX98
MA1620.1	Ptf1a(var.3)	Q9QX98
MA1621.1	Rbpjl	O08674
MA1622.1	Smad2::Smad3	Q15796
MA1622.1	Smad2::Smad3	Q8BUN5
MA1623.1	Stat2	Q9WVL2
MA1624.1	Stat5a	P42230
MA1625.1	Stat5b	P42232
MA1627.1	Wt1	P22561
MA1628.1	Zic1::Zic2	P46684
MA1628.1	Zic1::Zic2	Q62520
MA1629.1	Zic2	Q62520
MA1630.1	Znf281	Q99LI5
MA1631.1	ASCL1(var.2)	P50553
MA1632.1	ATF2	P15336
MA1633.1	BACH1	O14867
MA1634.1	BATF	Q16520
MA1635.1	BHLHE22(var.2)	Q8NFJ8
MA1636.1	CEBPG(var.2)	P53567
MA1637.1	EBF3	Q9H4W6
MA1638.1	HAND2	P61296
MA1639.1	MEIS1(var.2)	O00470
MA1640.1	MEIS2(var.2)	O14770
MA1641.1	MYF5	P13349
MA1642.1	NEUROG2(var.2)	Q9H2A3
MA1643.1	NFIB	O00712
MA1644.1	NFYC	Q13952
MA1645.1	NKX2-2	O95096
MA1646.1	OSR2	Q8N2R0
MA1647.1	PRDM4	Q9UKN5
MA1648.1	TCF12(var.2)	Q99081
MA1649.1	ZBTB12	Q9Y330
MA1650.1	ZBTB14	O43829
MA1651.1	ZFP42	Q96MM3
MA1652.1	ZKSCAN5	Q9Y2L8
MA1653.1	ZNF148	Q9UQR1
MA1654.1	ZNF16	P17020
MA1655.1	ZNF341	Q9BYN7
MA1656.1	ZNF449	Q6P9G9
MA1657.1	ZNF652	Q9Y2D9
MA1683.1	FOXA3	P55318
