jaspar_matrix	jaspar_id	uniprot_id	gene_name
MA0164.1	Nr2e3	Q9QXZ7	Nr2e3
MA0258.2	ESR2	Q92731	ESR2
MA0259.1	ARNT::HIF1A	P27540	ARNT
MA0259.1	ARNT::HIF1A	Q16665	HIF1A
MA0442.2	SOX10	P56693	SOX10
MA0461.2	Atoh1	P48985	Atoh1
MA0462.2	BATF::JUN	Q16520	BATF
MA0462.2	BATF::JUN	P05412	JUN
MA0463.2	BCL6	P41182	BCL6
MA0464.2	BHLHE40	O14503	BHLHE40
MA0465.2	CDX2	Q99626	CDX2
MA0466.2	CEBPB	P17676	CEBPB
MA0467.1	Crx	O54751	Crx
MA0468.1	DUX4	Q9UBX2	DUX4
MA0469.3	E2F3	O00716	E2F3
MA0470.2	E2F4	Q16254	E2F4
MA0471.2	E2F6	O75461	E2F6
MA0472.2	EGR2	P11161	EGR2
MA0473.3	ELF1	P32519	ELF1
MA0474.2	ERG	P11308	ERG
MA0475.2	FLI1	Q01543	FLI1
MA0476.1	FOS	P01100	FOS
MA0477.2	FOSL1	P15407	FOSL1
MA0478.1	FOSL2	P15408	FOSL2
MA0479.1	FOXH1	O75593	FOXH1
MA0480.1	Foxo1	Q9R1E0	Foxo1
MA0481.3	FOXP1	Q9H334	FOXP1
MA0482.2	GATA4	P43694	GATA4
MA0483.1	Gfi1b	O70237	Gfi1b
MA0484.2	HNF4G	Q14541	HNF4G
MA0485.2	HOXC9	P31274	HOXC9
MA0486.2	HSF1	Q00613	HSF1
MA0488.1	JUN	P05412	JUN
MA0489.1	JUN(var.2)	P05412	JUN
MA0490.2	JUNB	P17275	JUNB
MA0491.2	JUND	P17535	JUND
MA0492.1	JUND(var.2)	P17535	JUND
MA0493.1	Klf1	P46099	Klf1
MA0494.1	Nr1h3::Rxra	Q9Z0Y9	Nr1h3
MA0494.1	Nr1h3::Rxra	P28700	Rxra
MA0495.3	MAFF	Q9ULX9	MAFF
MA0496.3	MAFK	O60675	MAFK
MA0497.1	MEF2C	Q06413	MEF2C
MA0498.2	MEIS1	O00470	MEIS1
MA0499.2	MYOD1	P15172	MYOD1
MA0500.2	MYOG	P15173	MYOG
MA0501.1	MAF::NFE2	O75444	MAF
MA0501.1	MAF::NFE2	Q16621	NFE2
MA0502.2	NFYB	P25208	NFYB
MA0503.1	Nkx2-5(var.2)	P42582	Nkx2-5
MA0504.1	NR2C2	P49116	NR2C2
MA0505.1	Nr5a2	P45448	Nr5a2
MA0506.1	NRF1	Q16656	NRF1
MA0507.1	POU2F2	P09086	POU2F2
MA0508.3	PRDM1	O75626	PRDM1
MA0509.2	RFX1	P48743	RFX1
MA0510.2	RFX5	P48382	RFX5
MA0511.2	RUNX2	Q13950	RUNX2
MA0512.2	Rxra	P28700	Rxra
MA0513.1	SMAD2::SMAD3::SMAD4	Q15796	SMAD2
MA0513.1	SMAD2::SMAD3::SMAD4	P84022	SMAD3
MA0513.1	SMAD2::SMAD3::SMAD4	Q13485	SMAD4
MA0514.1	Sox3	P53784	Sox3
MA0515.1	Sox6	P40645	Sox6
MA0516.2	SP2	Q02086	SP2
MA0517.1	STAT1::STAT2	P42224	STAT1
MA0517.1	STAT1::STAT2	P52630	STAT2
MA0518.1	Stat4	P42228	Stat4
