jaspar_matrix	jaspar_id	uniprot_id	gene_name
MA1134.1	FOS::JUNB	P01100	FOS
MA1134.1	FOS::JUNB	P17275	JUNB
MA1135.1	FOSB::JUNB	P53539	FOSB
MA1135.1	FOSB::JUNB	P17275	JUNB
MA1136.1	FOSB::JUNB(var.2)	P53539	FOSB
MA1136.1	FOSB::JUNB(var.2)	P17275	JUNB
MA1137.1	FOSL1::JUNB	P15407	FOSL1
MA1137.1	FOSL1::JUNB	P17275	JUNB
MA1138.1	FOSL2::JUNB	P15408	FOSL2
MA1138.1	FOSL2::JUNB	P17275	JUNB
MA1139.1	FOSL2::JUNB(var.2)	P15408	FOSL2
MA1139.1	FOSL2::JUNB(var.2)	P17275	JUNB
MA1140.2	JUNB(var.2)	P17275	JUNB
MA1141.1	FOS::JUND	P01100	FOS
MA1141.1	FOS::JUND	P17535	JUND
MA1142.1	FOSL1::JUND	P15407	FOSL1
MA1142.1	FOSL1::JUND	P17535	JUND
MA1143.1	FOSL1::JUND(var.2)	P15407	FOSL1
MA1143.1	FOSL1::JUND(var.2)	P17535	JUND
MA1144.1	FOSL2::JUND	P15408	FOSL2
MA1144.1	FOSL2::JUND	P17535	JUND
MA1145.1	FOSL2::JUND(var.2)	P15408	FOSL2
MA1145.1	FOSL2::JUND(var.2)	P17535	JUND
MA1146.1	NR1H4::RXRA	Q96RI1	NR1H4
MA1146.1	NR1H4::RXRA	P19793	RXRA
MA1147.1	NR4A2::RXRA	P43354	NR4A2
MA1147.1	NR4A2::RXRA	P19793	RXRA
MA1148.1	PPARA::RXRA	Q07869	PPARA
MA1148.1	PPARA::RXRA	P19793	RXRA
MA1149.1	RARA::RXRG	P10276	RARA
MA1149.1	RARA::RXRG	P48443	RXRG
MA1150.1	RORB	Q92753	RORB
MA1151.1	RORC	P51449	RORC
MA1152.1	SOX15	O60248	SOX15
MA1153.1	Smad4	P97471	Smad4
MA1154.1	ZNF282	Q9UDV7	ZNF282
MA1155.1	ZSCAN4	Q8NAM6	ZSCAN4
MA1418.1	IRF3	Q14653	IRF3
MA1419.1	IRF4	Q15306	IRF4
MA1420.1	IRF5	Q13568	IRF5
MA1421.1	TCF7L1	Q9HCS4	TCF7L1
MA1463.1	ARGFX	A6NJG6	ARGFX
MA1464.1	ARNT2	Q9HBZ2	ARNT2
MA1466.1	ATF6	P18850	ATF6
MA1467.1	ATOH1(var.2)	Q92858	ATOH1
MA1468.1	ATOH7	Q8N100	ATOH7
MA1470.1	BACH2(var.2)	Q9BYV9	BACH2
MA1471.1	BARX2	Q9UMQ3	BARX2
MA1472.1	BHLHA15(var.2)	Q7RTS1	BHLHA15
MA1473.1	CDX4	O14627	CDX4
MA1474.1	CREB3L4	Q8TEY5	CREB3L4
MA1475.1	CREB3L4(var.2)	Q8TEY5	CREB3L4
MA1476.1	DLX5	P56178	DLX5
MA1478.1	DMRTA2	Q96SC8	DMRTA2
MA1479.1	DMRTC2	Q8IXT2	DMRTC2
MA1480.1	DPRX	A6NFQ7	DPRX
MA1481.1	DRGX	A6NNA5	DRGX
MA1483.1	ELF2	Q15723	ELF2
MA1484.1	ETS2	P15036	ETS2
MA1485.1	FERD3L	Q96RJ6	FERD3L
MA1487.1	FOXE1	O00358	FOXE1
MA1489.1	FOXN3	O00409	FOXN3
MA1491.1	GLI3	P10071	GLI3
MA1493.1	HES6	Q96HZ4	HES6
MA1494.1	HNF4A(var.2)	P41235	HNF4A
MA1495.1	HOXA1	P49639	HOXA1
MA1496.1	HOXA4	Q00056	HOXA4
MA1497.1	HOXA6	P31267	HOXA6
MA1498.1	HOXA7	P31268	HOXA7
MA1499.1	HOXB4	P17483	HOXB4
MA1500.1	HOXB6	P17509	HOXB6
MA1501.1	HOXB7	P09629	HOXB7
MA1502.1	HOXB8	P17481	HOXB8
MA1503.1	HOXB9	P17482	HOXB9
MA1504.1	HOXC4	P09017	HOXC4
MA1505.1	HOXC8	P31273	HOXC8
MA1506.1	HOXD10	P28358	HOXD10
MA1507.1	HOXD4	P09016	HOXD4
MA1508.1	IKZF1	Q13422	IKZF1
MA1509.1	IRF6	O14896	IRF6
MA1511.1	KLF10	Q13118	KLF10
MA1512.1	KLF11	O14901	KLF11
MA1513.1	KLF15	Q9UIH9	KLF15
MA1514.1	KLF17	Q5JT82	KLF17
MA1515.1	KLF2	Q9Y5W3	KLF2
MA1516.1	KLF3	P57682	KLF3
MA1517.1	KLF6	Q99612	KLF6
MA1518.1	LHX1	P48742	LHX1
MA1519.1	LHX5	Q9H2C1	LHX5
MA1520.1	MAF	O75444	MAF
MA1521.1	MAFA	Q8NHW3	MAFA
MA1522.1	MAZ	P56270	MAZ
MA1523.1	MSANTD3	Q96H12	MSANTD3
MA1524.1	MSGN1	A6NI15	MSGN1
MA1525.1	NFATC4	Q14934	NFATC4
MA1527.1	NFIC(var.2)	P08651	NFIC
MA1528.1	NFIX(var.2)	Q14938	NFIX
MA1529.1	NHLH2	Q02577	NHLH2
MA1530.1	NKX6-3	A6NJ46	NKX6-3
MA1531.1	NR1D1	P20393	NR1D1
MA1532.1	NR1D2	Q14995	NR1D2
MA1533.1	NR1I2	O75469	NR1I2
MA1534.1	NR1I3	Q14994	NR1I3
MA1535.1	NR2C1	P13056	NR2C1
MA1536.1	NR2C2(var.2)	P49116	NR2C2
MA1537.1	NR2F1(var.2)	P10589	NR2F1
MA1538.1	NR2F1(var.3)	P10589	NR2F1
MA1539.1	NR2F6(var.3)	P10588	NR2F6
MA1540.1	NR5A1	Q13285	NR5A1
MA1541.1	NR6A1	Q15406	NR6A1
MA1542.1	OSR1	Q8TAX0	OSR1
MA1544.1	OVOL1	O14753	OVOL1
MA1545.1	OVOL2	Q9BRP0	OVOL2
MA1546.1	PAX3(var.2)	P23760	PAX3
MA1547.1	PITX2	Q99697	PITX2
MA1548.1	PLAGL2	Q9UPG8	PLAGL2
MA1549.1	POU6F1(var.2)	Q14863	POU6F1
MA1550.1	PPARD	Q03181	PPARD
MA1552.1	RARB(var.3)	P10826	RARB
MA1553.1	RARG(var.3)	P13631	RARG
MA1554.1	RFX7	O14593	RFXANK
MA1555.1	RXRB(var.2)	P28702	RXRB
MA1556.1	RXRG(var.2)	P48443	RXRG
MA1557.1	SMAD5	Q99717	SMAD5
MA1558.1	SNAI1	O95863	SNAI1
MA1559.1	SNAI3	Q3KNW1	SNAI3
MA1560.1	SOHLH2	Q9NX45	SOHLH2
MA1561.1	SOX12	O15370	SOX12
MA1562.1	SOX14	O95416	SOX14
MA1563.1	SOX18	P35713	SOX18
MA1564.1	SP9	P0CG40	SP9
MA1565.1	TBX18	O95935	TBX18
MA1566.1	TBX3	O15119	TBX3
MA1567.1	TBX6	O95947	TBX6
MA1568.1	TCF21(var.2)	O43680	TCF21
MA1569.1	TFAP2E	Q6VUC0	TFAP2E
MA1570.1	TFAP4(var.2)	Q01664	TFAP4
MA1571.1	TGIF2LX	Q8IUE1	TGIF2LX
MA1572.1	TGIF2LY	Q8IUE0	TGIF2LY
MA1573.1	THAP11	Q96EK4	THAP11
MA1574.1	THRB	P10828	THRB
MA1575.1	THRB(var.2)	P10828	THRB
MA1576.1	THRB(var.3)	P10828	THRB
MA1577.1	TLX2	O43763	TLX2
MA1578.1	VEZF1	Q14119	VEZF1
MA1579.1	ZBTB26	Q9HCK0	ZBTB26
MA1580.1	ZBTB32	Q9Y2Y4	ZBTB32
MA1581.1	ZBTB6	Q15916	ZBTB6
MA1583.1	ZFP57	Q9NU63	ZFP57
MA1584.1	ZIC5	Q96T25	ZIC5
MA1585.1	ZKSCAN1	P17029	ZKSCAN1
MA1587.1	ZNF135	P52742	ZNF135
MA1588.1	ZNF136	P52737	ZNF136
MA1589.1	ZNF140	P52738	ZNF140
MA1592.1	ZNF274	Q96GC6	ZNF274
MA1593.1	ZNF317	Q96PQ6	ZNF317
MA1594.1	ZNF382	Q96SR6	ZNF382
MA1596.1	ZNF460	Q14592	ZNF460
MA1597.1	ZNF528	Q3MIS6	ZNF528
MA1599.1	ZNF682	O95780	ZNF682
MA1600.1	ZNF684	Q5T5D7	ZNF684
MA1601.1	ZNF75D	P51815	ZNF75D
MA1602.1	ZSCAN29	Q8IWY8	ZSCAN29
MA1603.1	Dmrt1	Q9QZ59	Dmrt1
MA1604.1	Ebf2	O08792	Ebf2
MA1606.1	Foxf1	Q61080	Foxf1
MA1607.1	Foxl2	O88470	Foxl2
MA1608.1	Isl1	P61372	Isl1
MA1615.1	Plagl1	O35745	Plagl1
MA1616.1	Prdm15	E9Q8T2	Prdm15
MA1618.1	Ptf1a	Q9QX98	Ptf1a
MA1619.1	Ptf1a(var.2)	Q9QX98	Ptf1a
MA1620.1	Ptf1a(var.3)	Q9QX98	Ptf1a
MA1621.1	Rbpjl	O08674	Rbpjl
MA1622.1	Smad2::Smad3	Q15796	SMAD2
MA1622.1	Smad2::Smad3	Q8BUN5	Smad3
MA1623.1	Stat2	Q9WVL2	Stat2
MA1624.1	Stat5a	P42230	Stat5a
MA1625.1	Stat5b	P42232	Stat5b
MA1627.1	Wt1	P22561	Wt1
MA1628.1	Zic1::Zic2	P46684	Zic1
MA1628.1	Zic1::Zic2	Q62520	Zic2
MA1629.1	Zic2	Q62520	Zic2
MA1630.1	Znf281	Q99LI5	Znf281
MA1631.1	ASCL1(var.2)	P50553	ASCL1
MA1632.1	ATF2	P15336	ATF2
MA1633.1	BACH1	O14867	BACH1
MA1634.1	BATF	Q16520	BATF
MA1635.1	BHLHE22(var.2)	Q8NFJ8	BHLHE22
MA1636.1	CEBPG(var.2)	P53567	CEBPG
MA1637.1	EBF3	Q9H4W6	EBF3
MA1638.1	HAND2	P61296	HAND2
MA1639.1	MEIS1(var.2)	O00470	MEIS1
MA1640.1	MEIS2(var.2)	O14770	MEIS2
MA1641.1	MYF5	P13349	MYF5
MA1642.1	NEUROG2(var.2)	Q9H2A3	NEUROG2
MA1643.1	NFIB	O00712	NFIB
MA1644.1	NFYC	Q13952	NFYC
MA1645.1	NKX2-2	O95096	NKX2-2
MA1646.1	OSR2	Q8N2R0	OSR2
MA1647.1	PRDM4	Q9UKN5	PRDM4
MA1648.1	TCF12(var.2)	Q99081	TCF12
MA1649.1	ZBTB12	Q9Y330	ZBTB12
MA1650.1	ZBTB14	O43829	ZBTB14
MA1651.1	ZFP42	Q96MM3	ZFP42
MA1652.1	ZKSCAN5	Q9Y2L8	ZKSCAN5
MA1653.1	ZNF148	Q9UQR1	ZNF148
MA1654.1	ZNF16	P17020	ZNF16
MA1655.1	ZNF341	Q9BYN7	ZNF341
MA1656.1	ZNF449	Q6P9G9	ZNF449
MA1657.1	ZNF652	Q9Y2D9	ZNF652
MA1683.1	FOXA3	P55318	FOXA3
